name,year,frequency
Divertissement,72,1440
Politique,72,1718
Beauté,72,1357
Education,72,847
Associatif,72,2582
Actualites,72,1384
Fortnite,73,2735
Film,73,656
Automobile,73,323
Musique,73,1076
Animaux,73,230
Sports,73,2026
Voyage et événements,73,611
Gaming,73,2117
Divertissement,73,1468
Politique,73,1701
Beauté,73,1364
Education,73,850
Associatif,73,2602
Actualites,73,1433
Fortnite,74,2970
Film,74,658
Automobile,74,336
Musique,74,1072
Animaux,74,220
Sports,74,2087
Voyage et événements,74,621
Gaming,74,2220
Divertissement,74,1410
Politique,74,1684
Beauté,74,1388
Education,74,816
Associatif,74,2601
Actualites,74,1397
Fortnite,75,3847
Film,75,733
Automobile,75,317
Musique,75,1048
Animaux,75,240
Sports,75,1893
Voyage et événements,75,727
Gaming,75,2382
Divertissement,75,1367
Politique,75,1656
Beauté,75,1420
Education,75,808
Associatif,75,2558
Actualites,75,1375
Fortnite,76,3627
Film,76,779
Automobile,76,324
Musique,76,1075
Animaux,76,290
Sports,76,1780
Voyage et événements,76,1012
Gaming,76,2371
Divertissement,76,1389
Politique,76,1708
Beauté,76,1426
Education,76,811
Associatif,76,2462
Actualites,76,1411
Fortnite,77,3054
Film,77,762
Automobile,77,351
Musique,77,1130
Animaux,77,326
Sports,77,1785
Voyage et événements,77,946
Gaming,77,2397
Divertissement,77,1398
Politique,77,1713
Beauté,77,1415
Education,77,783
Associatif,77,2429
Actualites,77,1434
Fortnite,78,3631
Film,78,770
Automobile,78,396
Musique,78,1221
Animaux,78,326
Sports,78,1871
Voyage et événements,78,681
Gaming,78,2340
Divertissement,78,1348
Politique,78,1564
Beauté,78,1408
Education,78,740
Associatif,78,2556
Actualites,78,1315
Fortnite,79,3470
Film,79,710
Automobile,79,407
Musique,79,1135
Animaux,79,356
Sports,79,1903
Voyage et événements,79,599
Gaming,79,2281
Divertissement,79,1318
Politique,79,1508
Beauté,79,1627
Education,79,793
Associatif,79,2530
Actualites,79,1203
Fortnite,80,2757
Film,80,596
Automobile,80,396
Musique,80,905
Animaux,80,389
Sports,80,1874
Voyage et événements,80,550
Gaming,80,2189
Divertissement,80,1319
Politique,80,1652
Beauté,80,1702
Education,80,846
Associatif,80,2254
Actualites,80,1207
Fortnite,81,2292
Film,81,585
Automobile,81,353
Musique,81,1010
Animaux,81,402
Sports,81,1981
Voyage et événements,81,492
Gaming,81,2002
Divertissement,81,1323
Politique,81,1835
Beauté,81,1397
Education,81,790
Associatif,81,2786
Actualites,81,1280
